Vivado Simulator 2017.2
Time resolution is 1 ps
 Block Memory Generator module loading initial data...
 Block Memory Generator data initialization complete.
Block Memory Generator module blockmemory_tb.bram.inst.native_mem_module.blk_mem_gen_v8_3_6_inst is using a behavioral model for simulation which will not precisely model memory collision behavior.
		time,	CLK100MHZ_tb,	addra,	douta
                   0,	0,		  0,	   0
                   1,	1,		  1,	   0
                   2,	0,		  1,	   0
                   3,	1,		  2,	   0
                   3,	1,		  2,	1024
                   4,	0,		  2,	1024
                   5,	1,		  3,	1024
                   5,	1,		  3,	1049
                   6,	0,		  3,	1049
                   7,	1,		  4,	1049
                   7,	1,		  4,	1074
                   8,	0,		  4,	1074
                   9,	1,		  5,	1074
                   9,	1,		  5,	1099
                  10,	0,		  5,	1099
                  11,	1,		  6,	1099
                  11,	1,		  6,	1124
                  12,	0,		  6,	1124
                  13,	1,		  7,	1124
                  13,	1,		  7,	1149
                  14,	0,		  7,	1149
                  15,	1,		  8,	1149
                  15,	1,		  8,	1174
                  16,	0,		  8,	1174
                  17,	1,		  9,	1174
                  17,	1,		  9,	1198
                  18,	0,		  9,	1198
                  19,	1,		 10,	1198
                  19,	1,		 10,	1223
                  20,	0,		 10,	1223
                  21,	1,		 11,	1223
                  21,	1,		 11,	1248
                  22,	0,		 11,	1248
                  23,	1,		 12,	1248
                  23,	1,		 12,	1272
                  24,	0,		 12,	1272
                  25,	1,		 13,	1272
                  25,	1,		 13,	1296
                  26,	0,		 13,	1296
                  27,	1,		 14,	1296
                  27,	1,		 14,	1321
                  28,	0,		 14,	1321
                  29,	1,		 15,	1321
                  29,	1,		 15,	1345
                  30,	0,		 15,	1345
                  31,	1,		 16,	1345
                  31,	1,		 16,	1368
                  32,	0,		 16,	1368
                  33,	1,		 17,	1368
                  33,	1,		 17,	1392
                  34,	0,		 17,	1392
                  35,	1,		 18,	1392
                  35,	1,		 18,	1415
                  36,	0,		 18,	1415
                  37,	1,		 19,	1415
                  37,	1,		 19,	1438
                  38,	0,		 19,	1438
                  39,	1,		 20,	1438
                  39,	1,		 20,	1461
                  40,	0,		 20,	1461
                  41,	1,		 21,	1461
                  41,	1,		 21,	1484
                  42,	0,		 21,	1484
                  43,	1,		 22,	1484
                  43,	1,		 22,	1506
                  44,	0,		 22,	1506
                  45,	1,		 23,	1506
                  45,	1,		 23,	1528
                  46,	0,		 23,	1528
                  47,	1,		 24,	1528
                  47,	1,		 24,	1550
                  48,	0,		 24,	1550
                  49,	1,		 25,	1550
                  49,	1,		 25,	1571
                  50,	0,		 25,	1571
                  51,	1,		 26,	1571
                  51,	1,		 26,	1592
                  52,	0,		 26,	1592
                  53,	1,		 27,	1592
                  53,	1,		 27,	1613
                  54,	0,		 27,	1613
                  55,	1,		 28,	1613
                  55,	1,		 28,	1633
                  56,	0,		 28,	1633
                  57,	1,		 29,	1633
                  57,	1,		 29,	1653
                  58,	0,		 29,	1653
                  59,	1,		 30,	1653
                  59,	1,		 30,	1673
                  60,	0,		 30,	1673
                  61,	1,		 31,	1673
                  61,	1,		 31,	1692
                  62,	0,		 31,	1692
